Rank,Name,Keywords,Corr,pvalue,Signedcorrvalue,ID
583,NL_MS_nlpe_fnn_mi_normp,"nonlinear,prediction,model,slow",0.428,9.206815524864837e-46,-0.428,6740
584,NL_TSTL_dimensions_50_ac_fnnmar_bc_minm2,"nonlinear,tstool,scaling,dimension",0.428,1.1694058026482174e-44,-0.428,5168
585,SY_SlidingWindow_ac1_ent10_1,stationarity,0.428,7.529727370564619e-46,-0.428,740
586,MF_StateSpace_n4sid_2_05_1_maxonmean,model,0.427,1.238364701794171e-45,0.427,7126
587,SY_LocalGlobal_skewness_l500,"stationarity,distribution",0.427,1.3890071865996079e-45,0.427,820
588,MF_armax_3_1_05_1_propbth,model,0.426,2.0001856893547446e-45,-0.426,7252
589,TSTL_localdensity_5_40_ac_fnnmar_tauacden,"nonlinear,tstool",0.426,1.0710894000729535e-43,0.426,5344
590,NL_TISEAN_fnn_1_10_005_maxnHood2,"nonlinear,dimension,tisean",0.426,7.553524298694257e-45,-0.426,4825
591,SB_BinaryStats_iqr_longstretch1,"distribution,stationarity",0.426,2.4697344040512083e-45,0.426,3549
592,CO_StickAngles_y_statav3_all_m,"correlation,stationarity",0.426,2.6415088861378083e-45,-0.426,1927
593,SY_SlidingWindow_ac1_sampen10_10,stationarity,0.426,1.945068311747859e-45,-0.426,733
594,MF_armax_2_2_05_1_sbc1,model,0.425,4.9127120062440045e-45,-0.425,7323
595,MF_armax_1_1_05_1_acmnd0,model,0.425,5.0860075708769046e-45,0.425,7282
596,MF_armax_1_1_05_1_ac2n,model,0.425,3.8970762622128437e-45,0.425,7280
597,SD_TSTL_surrogates_mi_100_1_trev_stdsurr,"nonlinear,tstool,correlation,surrogate",0.425,4.5241353083889474e-45,-0.425,5679
598,NL_TSTL_ReturnTime_5_1_40_n1_1_8_pzeroscgdist,"nonlinear,tstool",0.425,3.8744902112179614e-45,-0.425,5607
599,MF_FitSubsegments_ss_2_uniform_25_01_fpe_range,"model,prediction",0.424,8.722196462750437e-45,-0.424,6968
600,WL_cwt_db3_32_stat_5_s_m,"wavelet,cwt",0.424,6.198612816185639e-45,-0.424,6441
601,CO_StickAngles_y_statav2_p_m,"correlation,stationarity",0.424,7.030245163750393e-45,-0.424,1917
602,SD_TSTL_surrogates_1_100_2_tc3_stdsurr,"nonlinear,tstool,correlation,surrogate",0.423,1.0012823167263968e-44,-0.423,5644
603,NL_TISEAN_fnn_1_10_005_nHood2_8,"nonlinear,dimension,tisean",0.423,4.27312739944268e-44,-0.423,4818
604,SY_SlidingWindow_sampen_s5_1,stationarity,0.423,1.0577845870910985e-44,-0.423,631
605,MF_GARCHfit_ar_P1_Q1_stde_ac3n,model,0.422,2.1580869904739242e-44,0.422,7406
606,NL_MS_nlpe_2_mi_propbth,"nonlinear,prediction,model",0.422,2.0140320548213674e-44,-0.422,6679
607,PH_ForcePotential_sine_1_1_1_std,dynamicalSystem,0.422,1.7804636585396466e-44,0.422,1676
608,MF_StateSpace_n4sid_1_05_1_acmnd0,model,0.421,3.566892066033758e-44,0.421,7100
609,WL_cwt_sym2_32_stat_5_s_m,"wavelet,cwt",0.421,2.4759772814623285e-44,-0.421,6467
610,SB_TransitionpAlphabet_40_1_maxeig_fexpb,"symbolic,transitionmat",0.421,3.372017132961977e-44,-0.421,1475
611,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_m3_minbad,"nonlinear,tstool,scaling,dimension",0.420,8.822016250340415e-43,-0.420,5225
612,SY_RangeEvolve_nuql100,stationarity,0.420,4.4313215614899286e-44,-0.420,2282
613,MF_GARCHfit_ar_P1_Q2_stde_ac3n,model,0.419,7.110841291506107e-44,0.419,7463
614,SP_Summaries_fft_fpoly2csS_p1,FourierSpectrum,0.419,7.296587908251497e-44,-0.419,4612
615,SP_Summaries_welch_rect_fpoly2csS_p1,FourierSpectrum,0.419,7.489026655224126e-44,-0.419,4488
616,CO_AddNoise_ac_quantiles_10_firstUnder25,"correlation,AMI,entropy",0.419,8.452837080120027e-44,-0.419,1171
617,MF_FitSubsegments_ss_2_uniform_25_01_fpe_std,"model,prediction",0.418,1.5529729721090768e-43,-0.418,6964
618,SY_SlidingWindow_ac1_ent5_10,stationarity,0.418,1.692693407269796e-43,-0.418,739
619,SY_SlidingWindow_lil_ent2_10,stationarity,0.418,1.1483840949569094e-43,0.418,713
620,MF_StateSpace_n4sid_2_05_1_acmnd0,model,0.417,2.822517636608104e-43,0.417,7138
621,NL_TSTL_LargestLyap_n1_01_001_3_1_4_ve_intercept,"nonlinear,tstool",0.417,5.672182931212829e-43,0.417,5568
622,SY_SlidingWindow_ac1_s10_1,stationarity,0.417,1.9569860697445684e-43,-0.417,726
623,SP_Summaries_pgram_hamm_fpoly2csS_p1,FourierSpectrum,0.416,4.448217607837534e-43,-0.416,4364
624,EX_MovingThreshold_1_01_minq,outliers,0.416,5.098259017920892e-43,-0.416,3506
625,MF_StateSpace_n4sid_2_05_1_propbth,model,0.415,6.504405392390901e-43,-0.415,7140
626,SB_BinaryStats_diff_longstretch0,"distribution,stationarity",0.415,7.87034882763361e-43,0.415,3527
627,FC_Surprise_dist_100_4_udq_500_max,"information,symbolic",0.415,8.158361181954547e-43,0.415,2421
628,CO_StickAngles_y_statav2_n_m,"correlation,stationarity",0.415,6.9177605012414675e-43,-0.415,1919
629,PH_ForcePotential_sine_3_05_1_ac10,dynamicalSystem,0.415,7.96099254788884e-43,0.415,1661
630,CO_AddNoise_ac_std1_10_fitlinb,"correlation,AMI,entropy",0.415,5.2447192924945366e-43,-0.415,1257
631,MF_armax_2_2_05_1_propbth,model,0.414,9.753325024907972e-43,-0.414,7318
632,NL_TSTL_LargestLyap_n1_01_001_3_1_4_to095max,"nonlinear,tstool",0.414,2.304126828254469e-42,0.414,5555
633,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_to08max,"nonlinear,tstool",0.414,2.4713696937878377e-42,0.414,5529
634,SP_Summaries_pgram_hamm_maxProm,FourierSpectrum,0.414,1.1865377788993607e-42,0.414,4327
635,SY_RangeEvolve_totnuq,stationarity,0.414,8.998697629605565e-43,0.414,2275
636,SY_LocalGlobal_AC1_p05,stationarity,0.414,1.3690465716784375e-42,-0.414,850
